timestamp,Temperature,Humidity,PM2.5,CO2,TVOC,CO,prediction
2026-02-05 23:35:07,33.1,66.0,0.0,357.0,6.0,0.96,Poor
2026-02-05 23:35:12,33.1,65.9,0.0,355.0,5.0,0.96,Poor
2026-02-05 23:35:18,33.0,65.9,0.0,355.0,6.0,0.98,Poor
2026-02-05 23:35:23,33.1,66.0,0.0,358.0,8.0,0.95,Poor
2026-02-05 23:35:29,33.1,65.9,0.0,357.0,8.0,0.95,Poor
2026-02-05 23:35:34,33.0,65.9,0.0,357.0,7.0,0.95,Poor
2026-02-05 23:35:39,33.0,65.9,0.0,357.0,6.0,0.98,Poor
2026-02-05 23:35:45,33.0,65.9,0.0,357.0,7.0,0.96,Poor
2026-02-05 23:35:50,33.0,65.8,0.0,358.0,7.0,0.96,Poor
2026-02-05 23:35:56,33.0,66.0,0.0,357.0,6.0,0.97,Poor
2026-02-05 23:36:01,33.1,65.8,0.0,358.0,7.0,0.95,Poor
2026-02-05 23:36:07,33.1,65.9,0.0,359.0,8.0,0.96,Poor
2026-02-05 23:36:12,33.1,65.9,0.0,361.0,19.0,0.95,Poor
